Audit Id: 1271 | Match Id: 14840969 | Team Id: 8497757 | Inning: 1 | Over: 3 | Ball: 6 | UDID: 6DE29B25-897E-43D5-B3A2-2C0A84EF9452 | Device Name: iOS | Event Name: popup_end_over_start_next_over | Date & Time: 24 Jan, 11:22 PM 
Audit Id: 1272 | Match Id: 14840969 | Team Id: 8497757 | Inning: 1 | Over: 3 | Ball: 6 | UDID: 6DE29B25-897E-43D5-B3A2-2C0A84EF9452 | Device Name: iOS | Event Name: wagon_wheel_open | Date & Time: 24 Jan, 11:23 PM 
Audit Id: 1273 | Match Id: 14840969 | Team Id: 8497757 | Inning: 1 | Over: 3 | Ball: 6 | UDID: 6DE29B25-897E-43D5-B3A2-2C0A84EF9452 | Device Name: iOS | Event Name: draw_wagon_wheel | Date & Time: 24 Jan, 11:23 PM 
Audit Id: 1274 | Match Id: 14840969 | Team Id: 8497757 | Inning: 1 | Over: 4 | Ball: 1 | UDID: 6DE29B25-897E-43D5-B3A2-2C0A84EF9452 | Device Name: iOS | Event Name: btn_run_six | Date & Time: 24 Jan, 11:23 PM 
Audit Id: 1275 | Match Id: 14840969 | Team Id: 8497757 | Inning: 1 | Over: 4 | Ball: 2 | UDID: 6DE29B25-897E-43D5-B3A2-2C0A84EF9452 | Device Name: iOS | Event Name: btn_run_zero | Date & Time: 24 Jan, 11:23 PM 
Audit Id: 1276 | Match Id: 14840969 | Team Id: 8497757 | Inning: 1 | Over: 4 | Ball: 3 | UDID: 6DE29B25-897E-43D5-B3A2-2C0A84EF9452 | Device Name: iOS | Event Name: btn_run_zero | Date & Time: 24 Jan, 11:23 PM 
Audit Id: 1277 | Match Id: 14840969 | Team Id: 8497757 | Inning: 1 | Over: 4 | Ball: 4 | UDID: 6DE29B25-897E-43D5-B3A2-2C0A84EF9452 | Device Name: iOS | Event Name: btn_run_one | Date & Time: 24 Jan, 11:23 PM 
Audit Id: 1278 | Match Id: 14840969 | Team Id: 8497757 | Inning: 1 | Over: 4 | Ball: 4 | UDID: 6DE29B25-897E-43D5-B3A2-2C0A84EF9452 | Device Name: iOS | Event Name: quick_settings_open | Date & Time: 24 Jan, 11:23 PM 
Audit Id: 1279 | Match Id: 14840969 | Team Id: 8497757 | Inning: 1 | Over: 4 | Ball: 4 | UDID: 6DE29B25-897E-43D5-B3A2-2C0A84EF9452 | Device Name: iOS | Event Name: quick_settings_close | Date & Time: 24 Jan, 11:23 PM 
Audit Id: 1280 | Match Id: 14840969 | Team Id: 8497757 | Inning: 1 | Over: 4 | Ball: 4 | UDID: 6DE29B25-897E-43D5-B3A2-2C0A84EF9452 | Device Name: iOS | Event Name: quick_option_change_scorer | Date & Time: 24 Jan, 11:23 PM 
Audit Id: 1281 | Match Id: 14840969 | Team Id: 8497757 | Inning: 1 | Over: 4 | Ball: 4 | UDID: 6DE29B25-897E-43D5-B3A2-2C0A84EF9452 | Device Name: iOS | Event Name: btn_back_pressed | Date & Time: 24 Jan, 11:24 PM 
Audit Id: 1282 | Match Id: 14840969 | Team Id: 8497757 | Inning: 1 | Over: 4 | Ball: 4 | UDID: 6DE29B25-897E-43D5-B3A2-2C0A84EF9452 | Device Name: iOS | Event Name: leave_scoring_set_interval_popup | Date & Time: 24 Jan, 11:24 PM 
