Audit Id: 42 | Match Id: 12418785 | Team Id: 6798211 | Inning: 1 | Over: 3 | Ball: 5 | UDID: 97AF0814-A173-4B15-9019-930858BCE5D4 | Device Name: iOS | Event Name: btn_run_zero | Date & Time: 18 Aug, 01:35 PM 
Audit Id: 43 | Match Id: 12418785 | Team Id: 6798211 | Inning: 1 | Over: 3 | Ball: 6 | UDID: 97AF0814-A173-4B15-9019-930858BCE5D4 | Device Name: iOS | Event Name: btn_wide_zero | Date & Time: 18 Aug, 01:35 PM 
Audit Id: 44 | Match Id: 12418785 | Team Id: 6798211 | Inning: 1 | Over: 3 | Ball: 6 | UDID: 97AF0814-A173-4B15-9019-930858BCE5D4 | Device Name: iOS | Event Name: btn_run_zero | Date & Time: 18 Aug, 01:35 PM 
Audit Id: 45 | Match Id: 12418785 | Team Id: 6798211 | Inning: 1 | Over: 3 | Ball: 6 | UDID: 97AF0814-A173-4B15-9019-930858BCE5D4 | Device Name: iOS | Event Name: popup_end_over_start_next_over | Date & Time: 18 Aug, 01:35 PM 
Audit Id: 46 | Match Id: 12418785 | Team Id: 6798211 | Inning: 1 | Over: 3 | Ball: 6 | UDID: 97AF0814-A173-4B15-9019-930858BCE5D4 | Device Name: iOS | Event Name: share_score | Date & Time: 18 Aug, 01:36 PM 
Audit Id: 47 | Match Id: 12418785 | Team Id: 6798211 | Inning: 1 | Over: 4 | Ball: 1 | UDID: 97AF0814-A173-4B15-9019-930858BCE5D4 | Device Name: iOS | Event Name: btn_run_zero | Date & Time: 18 Aug, 01:37 PM 
Audit Id: 48 | Match Id: 12418785 | Team Id: 6798211 | Inning: 1 | Over: 4 | Ball: 2 | UDID: 97AF0814-A173-4B15-9019-930858BCE5D4 | Device Name: iOS | Event Name: btn_run_zero | Date & Time: 18 Aug, 01:38 PM 
Audit Id: 49 | Match Id: 12418785 | Team Id: 6798211 | Inning: 1 | Over: 4 | Ball: 3 | UDID: 97AF0814-A173-4B15-9019-930858BCE5D4 | Device Name: iOS | Event Name: btn_wide_zero | Date & Time: 18 Aug, 01:38 PM 
Audit Id: 50 | Match Id: 12418785 | Team Id: 6798211 | Inning: 1 | Over: 4 | Ball: 3 | UDID: 97AF0814-A173-4B15-9019-930858BCE5D4 | Device Name: iOS | Event Name: btn_run_one | Date & Time: 18 Aug, 01:39 PM 
Audit Id: 51 | Match Id: 12418785 | Team Id: 6798211 | Inning: 1 | Over: 4 | Ball: 3 | UDID: 97AF0814-A173-4B15-9019-930858BCE5D4 | Device Name: iOS | Event Name: select_out_of_bowled | Date & Time: 18 Aug, 01:39 PM 
Audit Id: 52 | Match Id: 12418785 | Team Id: 6798211 | Inning: 1 | Over: 4 | Ball: 4 | UDID: 97AF0814-A173-4B15-9019-930858BCE5D4 | Device Name: iOS | Event Name: popup_strike_change_batsman_select | Date & Time: 18 Aug, 01:40 PM 
Audit Id: 53 | Match Id: 12418785 | Team Id: 6798211 | Inning: 1 | Over: 4 | Ball: 5 | UDID: 97AF0814-A173-4B15-9019-930858BCE5D4 | Device Name: iOS | Event Name: btn_run_six | Date & Time: 18 Aug, 01:40 PM 
Audit Id: 54 | Match Id: 12418785 | Team Id: 6798211 | Inning: 1 | Over: 4 | Ball: 6 | UDID: 97AF0814-A173-4B15-9019-930858BCE5D4 | Device Name: iOS | Event Name: btn_run_one | Date & Time: 18 Aug, 01:41 PM 
Audit Id: 55 | Match Id: 12418785 | Team Id: 6798211 | Inning: 1 | Over: 4 | Ball: 6 | UDID: 97AF0814-A173-4B15-9019-930858BCE5D4 | Device Name: iOS | Event Name: popup_end_over_start_next_over | Date & Time: 18 Aug, 01:41 PM 
Audit Id: 56 | Match Id: 12418785 | Team Id: 6798211 | Inning: 1 | Over: 5 | Ball: 1 | UDID: 97AF0814-A173-4B15-9019-930858BCE5D4 | Device Name: iOS | Event Name: btn_run_six | Date & Time: 18 Aug, 01:42 PM 
Audit Id: 57 | Match Id: 12418785 | Team Id: 6798211 | Inning: 1 | Over: 5 | Ball: 2 | UDID: 97AF0814-A173-4B15-9019-930858BCE5D4 | Device Name: iOS | Event Name: btn_run_six | Date & Time: 18 Aug, 01:42 PM 
Audit Id: 58 | Match Id: 12418785 | Team Id: 6798211 | Inning: 1 | Over: 5 | Ball: 3 | UDID: 97AF0814-A173-4B15-9019-930858BCE5D4 | Device Name: iOS | Event Name: btn_run_zero | Date & Time: 18 Aug, 01:43 PM 
Audit Id: 59 | Match Id: 12418785 | Team Id: 6798211 | Inning: 1 | Over: 5 | Ball: 3 | UDID: 97AF0814-A173-4B15-9019-930858BCE5D4 | Device Name: iOS | Event Name: select_out_of_caught_behind | Date & Time: 18 Aug, 01:43 PM 
Audit Id: 60 | Match Id: 12418785 | Team Id: 6798211 | Inning: 1 | Over: 5 | Ball: 4 | UDID: 97AF0814-A173-4B15-9019-930858BCE5D4 | Device Name: iOS | Event Name: popup_strike_change_batsman_select | Date & Time: 18 Aug, 01:43 PM 
Audit Id: 61 | Match Id: 12418785 | Team Id: 6798211 | Inning: 1 | Over: 5 | Ball: 4 | UDID: 97AF0814-A173-4B15-9019-930858BCE5D4 | Device Name: iOS | Event Name: popup_strike_change_after_out | Date & Time: 18 Aug, 01:43 PM 
Audit Id: 62 | Match Id: 12418785 | Team Id: 6798211 | Inning: 1 | Over: 5 | Ball: 5 | UDID: 97AF0814-A173-4B15-9019-930858BCE5D4 | Device Name: iOS | Event Name: btn_run_six | Date & Time: 18 Aug, 01:44 PM 
Audit Id: 63 | Match Id: 12418785 | Team Id: 6798211 | Inning: 1 | Over: 5 | Ball: 6 | UDID: 97AF0814-A173-4B15-9019-930858BCE5D4 | Device Name: iOS | Event Name: btn_wide_zero | Date & Time: 18 Aug, 01:45 PM 
Audit Id: 64 | Match Id: 12418785 | Team Id: 6798211 | Inning: 1 | Over: 5 | Ball: 6 | UDID: 97AF0814-A173-4B15-9019-930858BCE5D4 | Device Name: iOS | Event Name: select_out_of_run_out | Date & Time: 18 Aug, 01:46 PM 
